stuName,stuID,stuTeam,stuUniq,mid,last,assignment,report,quiz,presentation,attend1,attend2,attend3,attend4,attend5,attend6,attend7,attend8,attened9,attend10,attend11,attend12,attend13,atttend14,attend15,attend16
김태연,60140001,하리보,없음,100,100,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
김가은,60140002,하리보,재수강,60,64,10,10,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
김지은,60140003,하리보,없음,50,100,10,10,8,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
김이수,60152121,하리보,없음,40,60,10,5,7,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
허아라,60152213,배고파,없음,10,50,10,4,6,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
조강직,60140006,배고파,재수강,100,40,9,3,5,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
엄하마,60140007,배고파,없음,60,10,10,2,4,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
엄지인,60140008,배고파,없음,100,100,8,1,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
김지인,60140009,종강,재수강,60,100,10,10,10,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
박지인,60140010,종강,없음,50,60,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
이지인,60140011,종강,없음,40,50,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
노라저,60172133,종강,없음,10,40,10,10,9,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
모지인,60140013,집가자,없음,100,10,10,9,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
박수리,60140014,집가자,없음,60,100,9,10,8,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
김수리,60140015,집가자,없음,60,60,10,8,6,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
장수리,60140016,집가자,없음,50,60,8,10,5,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
엄수리,60140017,어머나,없음,40,50,8,10,4,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
배주시,60140018,어머나,없음,10,40,10,5,3,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
나주시,60140019,어머나,없음,60,100,10,4,2,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
김하나,60140020,어머나,재수강,100,60,10,3,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
장하나,60140021,연어상회,없음,60,50,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
박하나,60140022,연어상회,없음,50,100,9,10,10,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
엄하나,60140023,연어상회,없음,40,60,10,10,10,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
고하나,60140024,연어상회,재수강,10,50,8,10,10,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
고구마,60140025,오버워치,없음,100,40,5,9,10,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
사이다,60140026,오버워치,없음,60,10,4,10,9,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
콜라,60140027,오버워치,없음,60,100,3,8,10,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
금강현우,60140028,오버워치,없음,50,60,2,2,8,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
리스테린,60140029,디비하자,없음,100,50,1,1,2,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
페리오,60170113,디비하자,없음,60,60,10,10,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
뽀로로,60181321,디비하자,없음,50,100,10,9,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
개념이,60172521,디비하자,없음,40,60,10,3,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
아이폰,60140033,루트,재수강,10,50,10,2,8,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
갤럭시,60140034,루트,없음,100,40,9,1,7,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
샤오미,60170032,루트,없음,60,10,10,10,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
소니,60160021,루트,없음,20,100,8,9,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
슈퍼비,60171111,텐서,없음,30,60,10,10,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
비와이,60171123,텐서,없음,40,60,10,10,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
빈지노,60173321,텐서,없음,70,70,10,10,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
디보,60130002,텐서,재수강,90,80,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
