stuName,stuID,stuTeam,stuUniq,mid,last,assignment,report,quiz,presentation,attend1,attend2,attend3,attend4,attend5,attend6,attend7,attend8,attened9,attend10,attend11,attend12,attend13,atttend14,attend15,attend16
김태연,60140001,워너원,없음,100,100,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
김가은,60140002,워너원,재수강,60,64,10,10,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
김지은,60140003,워너원,없음,50,100,10,10,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
김이수,60152121,워너원,없음,40,60,10,5,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
허아라,60152213,밥머거,없음,10,50,10,4,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
조강직,60140006,밥머거,없음,100,40,9,3,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
엄하마,60140007,밥머거,없음,60,10,10,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
엄지인,60140008,밥머거,없음,50,100,8,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
김지인,60140009,밥버거,없음,40,60,10,10,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
박지인,60140010,밥버거,없음,10,50,5,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
이지인,60140011,밥버거,재수강,100,40,4,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
노라저,60172133,밥버거,없음,60,10,3,10,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
모지인,60140013,토마토,없음,50,80,2,10,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
박수리,60140014,토마토,없음,100,70,1,10,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
김수리,60140015,토마토,없음,60,100,10,10,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
장수리,60140016,토마토,재수강,50,60,9,10,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
엄수리,60140017,쥬시,없음,40,50,8,10,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
배주시,60140018,쥬시,없음,10,40,4,5,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
나주시,60140019,쥬시,없음,60,10,10,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
김하나,60140020,쥬시,없음,50,10,10,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
장하나,60140021,마포갈매기,없음,100,40,10,2,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
박하나,60140022,마포갈매기,없음,60,50,9,1,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
엄하나,60140023,마포갈매기,없음,50,100,10,10,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
고하나,60140024,마포갈매기,재수강,40,60,10,9,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
고구마,60140025,고오급,없음,10,50,5,5,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
사이다,60140026,고오급,없음,100,40,4,4,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
콜라,60140027,고오급,없음,60,10,3,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
금강현우,60140028,고오급,없음,50,40,2,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
리스테린,60140029,치카치카,없음,40,50,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
페리오,60170113,치카치카,없음,10,60,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
뽀로로,60181321,치카치카,없음,100,70,9,9,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
개념이,60172521,치카치카,없음,60,80,10,3,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
아이폰,60140033,모바일,재수강,50,90,10,2,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
갤럭시,60140034,모바일,없음,40,100,8,1,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
샤오미,60170032,모바일,없음,10,30,10,10,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
소니,60160021,모바일,없음,20,40,10,9,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
슈퍼비,60171111,레전드,없음,30,50,10,10,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
비와이,60171123,레전드,없음,40,60,10,10,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
빈지노,60173321,레전드,없음,70,70,10,10,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
디보,60130002,레전드,재수강,90,80,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
